_id,SchoolYear,HBR,HBRQF,ValidReviews,EpiUnderweight,LCIEpiUnderweight,UCIEpiUnderweight,EpiHealthyWeight,LCIEpiHealthyWeight,UCIEpiHealthyWeight,EpiOverweight,LCIEpiOverweight,UCIEpiOverweight,EpiObese,LCIEpiObese,UCIEpiObese,EpiOverweightAndObese,LCIEpiOverweightAndObese,UCIEpiOverweightAndObese
172,2018/19,S08000028, ,206,0.00970873786407767,0.00355016628987442,0.0158673094382809,0.713592233009709,0.685197709526015,0.741986756493403,0.169902912621359,0.146315408506519,0.1934904167362,0.106796116504854,0.0873975265316874,0.126194706478021,0.276699029126214,0.248600701400211,0.304797356852216
173,2019/20,S08000028, ,268,0,0,0,0.682835820895522,0.672774486073718,0.692897155717327,0.197761194029851,0.189149714793754,0.206372673265948,0.119402985074627,0.112392443249849,0.126413526899405,0.317164179104478,0.307102844282673,0.327225513926283
174,2020/21,S08000028, ,175,0.0228571428571429,0.0125610801092713,0.0331532056050144,0.685714285714286,0.653731587689057,0.717696983739515,0.137142857142857,0.113443464061336,0.160842250224378,0.154285714285714,0.129399670003828,0.1791717585676,0.291428571428571,0.260121743920045,0.322735398937098
175,2021/22,S08000028, ,229,0.00873362445414847,0.00547376051876294,0.011993488389534,0.746724890829694,0.7314884475656,0.761961334093788,0.131004366812227,0.119183244460695,0.142825489163759,0.11353711790393,0.102422200499293,0.124652035308567,0.244541484716157,0.229482745514894,0.259600223917421
176,2022/23,S08000028, ,180,0,0,0,0.705555555555556,0.670995372466573,0.740115738644539,0.138888888888889,0.112666509730539,0.165111268047239,0.155555555555556,0.128074269742136,0.183036841368975,0.294444444444444,0.259884261355461,0.329004627533428
177,2023/24,S08000028, ,168,0.0119047619047619,0.00352497496019607,0.0202845488493277,0.744047619047619,0.710330289606303,0.777764948488935,0.148809523809524,0.121311469961639,0.176307577657409,0.0952380952380952,0.072557955798308,0.117918234677883,0.244047619047619,0.210861403942662,0.277233834152576
178,2001/02,S08000029, ,3616,0.0113384955752212,0.0102346681420303,0.0124423230084122,0.753871681415929,0.749380825091539,0.75836253774032,0.131360619469027,0.127838922327161,0.134882316610892,0.103429203539823,0.100254424252703,0.106603982826943,0.23478982300885,0.230370765468207,0.239208880549492
179,2002/03,S08000029, ,3345,0.00866965620328849,0.00736953032655859,0.00996978208001839,0.748579970104634,0.742495898698666,0.754664041510602,0.133034379671151,0.128271625711066,0.137797133631236,0.109715994020927,0.105332963234077,0.114099024807777,0.242750373692078,0.236737601472607,0.248763145911548
180,2003/04,S08000029, ,3419,0.00760456273764259,0.00652383693023034,0.00868528854505483,0.749341912840012,0.743950322428649,0.754733503251374,0.138052062006435,0.133760671996605,0.142343452016264,0.105001462415911,0.101187777086717,0.108815147745106,0.243053524422346,0.237717478401613,0.248389570443079
181,2004/05,S08000029, ,3491,0.00859352621025494,0.00749647411749846,0.00969057830301142,0.745631624176454,0.740455443940483,0.750807804412424,0.145230592953309,0.141042954179842,0.149418231726775,0.100544256659983,0.0969700125884649,0.104118500731501,0.245774849613291,0.240657620091525,0.250892079135058
